Absicoccus porci
Enterocloster asparagiformis
Enterocloster bolteae
Enterocloster citroniae
Enterocloster clostridioformis
Enterocloster clostridioformis_A
Enterocloster lavalensis
Enterococcus_A avium
Enterococcus_A devriesei
Enterococcus_A gilvus
Enterococcus_A pallens
Enterococcus_A raffinosus
Enterococcus_B durans
Enterococcus_B faecium
Enterococcus_B hirae
Enterococcus_B lactis
Enterococcus_B pernyi
Enterococcus caccae
Enterococcus_C asini
Enterococcus_C dispar
Enterococcus_C massiliensis
Enterococcus_D casseliflavus
Enterococcus_D gallinarum
Enterococcus faecalis
Enterococcus_G italicus
Enteroscipio rubneri
Enterovibrio hollisae
Epilithonimonas bovis
Erysipelatoclostridium ramosum
Erysipelatoclostridium saccharogumia
Erysipelatoclostridium spiroforme
Escherichia albertii
Escherichia coli_D
Escherichia fergusonii
Escherichia marmotae
Eubacterium callanderi
Eubacterium_G ventriosum
Eubacterium_I ramulus
Eubacterium_I ramulus_A
Eubacterium limosum
Eubacterium maltosivorans
Eubacterium_R coprostanoligenes
Eubacterium_T saphenum_A
Evtepia gabavorous
Extibacter hylemonae
Extibacter muris
Ezakiella coagulans
Ezakiella massiliensis
Faecalibacillus faecis
Faecalibacillus intestinalis
Faecalibacterium prausnitzii
Faecalibacterium prausnitzii_C
Faecalibacterium prausnitzii_D
Faecalibacterium prausnitzii_E
Faecalibacterium prausnitzii_F
Faecalibacterium prausnitzii_G
Faecalibacterium prausnitzii_H
Faecalibacterium prausnitzii_I
Faecalibacterium prausnitzii_J
Faecalibacterium prausnitzii_M
Faecalicoccus pleomorphus
Faecalimonas phoceensis
Faecalimonas umbilicata
Faecalitalea cylindroides
Fannyhessea vaginae
Fenollaria massiliensis
Fenollaria timonensis
Ferdinandcohnia timonensis
Fermentimonas caenicola
Fibrobacter_A intestinalis
Finegoldia magna
Finegoldia magna_F
Finegoldia magna_H
Flaviflexus massiliensis
Flavobacterium lindanitolerans
Flavonifractor plautii
Fournierella massiliensis
Franconibacter helveticus
Frisingicoccus caecimuris
Fructilactobacillus sanfranciscensis
Fusicatenibacter saccharivorans
Fusobacterium_A mortiferum
Fusobacterium animalis
Fusobacterium_A ulcerans
Fusobacterium_A ulcerans_A
Fusobacterium_A varium
Fusobacterium_A varium_A
Fusobacterium_C gonidiaformans
Fusobacterium_C necrophorum
Fusobacterium massiliense
Fusobacterium nucleatum
Fusobacterium nucleatum_E
