1XD42-69 sp014287635
CAG-110 sp000434635
CAG-110 sp000435995
CAG-110 sp003525905
CAG-110 sp900540635
CAG-110 sp900544405
CAG-110 sp900544705
CAG-110 sp900544945
CAG-110 sp900544975
CAG-110 sp900546075
CAG-110 sp900546415
CAG-110 sp900546915
CAG-110 sp900547405
CAG-110 sp900548795
CAG-110 sp900549495
CAG-110 sp900549705
CAG-110 sp900551495
CAG-110 sp900553805
CAG-110 sp900554625
CAG-110 sp900554705
CAG-110 sp900556935
CAG-110 sp900752285
CAG-110 sp900762005
CAG-110 sp900762245
CAG-110 sp900762935
CAG-110 sp900763965
CAG-110 sp900769835
CAG-110 sp900769995
CAG-110 sp900770015
CAG-1138 sp000434675
CAG-115 sp000432175
CAG-115 sp002492075
CAG-115 sp003507295
CAG-115 sp003516865
CAG-115 sp003531585
CAG-115 sp900766795
CAG-115 sp900768125
CAG-115 sp900768705
CAG-1193 sp000436255
CAG-1193 sp900550145
CAG-127 sp900319515
CAG-127 sp900539705
CAG-127 sp900553925
CAG-127 sp900766925
CAG-127 sp900767585
CAG-1427 sp000431675
CAG-1427 sp000434775
CAG-1427 sp000435475
CAG-1427 sp000435675
CAG-1427 sp000436075
CAG-1427 sp900538545
CAG-1427 sp900539675
CAG-1427 sp900540345
CAG-1427 sp900542265
CAG-1427 sp900542525
CAG-1427 sp900544455
CAG-1427 sp900546175
CAG-1427 sp900547965
CAG-1427 sp900548955
CAG-1427 sp900551155
CAG-1427 sp900553605
CAG-1427 sp900554685
CAG-1427 sp900555755
CAG-1427 sp900556585
CAG-1427 sp900753095
CAG-1435 sp000433775
CAG-1435 sp003537755
CAG-1435 sp900769665
CAG-145 sp000435715
CAG-145 sp002320005
CAG-145 sp900540145
CAG-145 sp900542295
CAG-145 sp900542565
CAG-145 sp900545135
CAG-145 sp900754795
CAG-170 sp000432135
CAG-170 sp000436735
CAG-170 sp002404795
CAG-170 sp003516765
CAG-170 sp900545925
CAG-170 sp900548625
CAG-170 sp900549635
CAG-170 sp900553545
