Fenollaria timonensis
Ferdinandcohnia timonensis
Fermentimonas caenicola
Fibrobacter intestinalis
Finegoldia magna
Flaviflexus massiliensis
Flavobacterium lindanitolerans
Flavonifractor plautii
Fournierella massiliensis
Franconibacter helveticus
Frisingicoccus caecimuris
Fructilactobacillus sanfranciscensis
Fusicatenibacter saccharivorans
Fusobacterium animalis
Fusobacterium gonidiaformans
Fusobacterium massiliense
Fusobacterium mortiferum
Fusobacterium necrophorum
Fusobacterium nucleatum
Fusobacterium periodonticum
Fusobacterium polymorphum
Fusobacterium ulcerans
Fusobacterium varium
Fusobacterium vincentii
Gabonibacter massiliensis
Gastranaerophilus phascolarctosicola
Gemella morbillorum
Gemella sanguinis
Gemmiger formicilis
Gemmiger qucibialis
Gemmiger variabilis
Gleimia europaea
Gordonibacter massiliensis
Gordonibacter pamelaeae
Gordonibacter urolithinfaciens
Gorillibacterium timonense
Gracilibacillus massiliensis
Gracilibacillus phocaeensis
Granulicatella adiacens
Haemophilus influenzae
Haemophilus parahaemolyticus
Haemophilus parainfluenzae
Haemophilus paraphrohaemolyticus
Haemophilus pittmaniae
Haemophilus sputorum
Hafnia alvei
Hafnia paralvei
Haloferax massiliensis
Halorubrum lipolyticum
Harryflintia acetispora
Helicobacter canadensis
Helicobacter canis
Helicobacter cinaedi
Helicobacter fennelliae
Helicobacter macacae
Helicobacter pullorum
Helicobacter pylori
Helicobacter rappini
Helicobacter winghamensis
Holdemanella biformis
Holdemania filiformis
Holdemania massiliensis
Hungatella effluvii
Hungatella hathewayi
Hydrogeniiclostridium mannosilyticum
Intestinibacter bartlettii
Intestinimonas butyriciproducens
Intestinimonas massiliensis
Jonquetella anthropi
Kallipyga gabonensis
Kallipyga massiliensis
Klebsiella aerogenes
Klebsiella grimontii
Klebsiella indica
Klebsiella michiganensis
Klebsiella oxytoca
Klebsiella pneumoniae
Klebsiella quasipneumoniae
Klebsiella quasivariicola
Klebsiella variicola
Kluyvera ascorbata
Kocuria rhizophila
Kosakonia cowanii
Kurthia massiliensis
Kurthia senegalensis
Lachnoanaerobaculum orale
Lachnoanaerobaculum umeaense
Lachnoclostridium edouardi
Lachnoclostridium phocaeensis
Lachnoclostridium phytofermentans
Lachnospira eligens
Lachnospira rogosae
Lacticaseibacillus paracasei
Lacticaseibacillus rhamnosus
Lacticaseibacillus saniviri
Lacticaseibacillus zeae
Lactiplantibacillus pentosus
Lactiplantibacillus plantarum
Lactobacillus acidophilus
Lactobacillus amylolyticus
Lactobacillus amylovorus
Lactobacillus apis
Lactobacillus crispatus
Lactobacillus delbrueckii
Lactobacillus gallinarum
Lactobacillus gasseri
Lactobacillus helveticus
Lactobacillus hominis
Lactobacillus iners
Lactobacillus intestinalis
Lactobacillus johnsonii
Lactobacillus kalixensis
Lactobacillus mulieris
Lactobacillus paragasseri
Lactobacillus porci
Lactobacillus ultunensis
Lactococcus garvieae
Lactococcus hircilactis
Lactococcus lactis
Lactococcus petauri
Lactococcus piscium
Lactococcus raffinolactis
Lactonifactor longoviformis
Lagierella massiliensis
Lancefieldella parvula
Lancefieldella rimae
Lapidilactobacillus dextrinicus
Laribacter hongkongensis
Latilactobacillus curvatus
Latilactobacillus sakei
Lawsonella clevelandensis
Lawsonibacter asaccharolyticus
Leclercia adecarboxylata
Leminorella grimontii
Leminorella richardii
Lentilactobacillus buchneri
Lentilactobacillus hilgardii
Lentilactobacillus kefiri
Lentilactobacillus parabuchneri
Lentilactobacillus parafarraginis
Lentilactobacillus senioris
Leptotrichia wadei
Leuconostoc citreum
Leuconostoc lactis
Leuconostoc mesenteroides
Leuconostoc pseudomesenteroides
Levilactobacillus brevis
Levilactobacillus namurensis
Levyella massiliensis
Ligilactobacillus agilis
Ligilactobacillus animalis
Ligilactobacillus murinus
Ligilactobacillus ruminis
Ligilactobacillus salivarius
Limosilactobacillus antri
Limosilactobacillus caviae
Limosilactobacillus fermentum
Limosilactobacillus ingluviei
Limosilactobacillus mucosae
Limosilactobacillus oris
Limosilactobacillus reuteri
Limosilactobacillus timonensis
Limosilactobacillus vaginalis
Listeria grayi
Listeria innocua
Listeria monocytogenes
Loigolactobacillus coryniformis
Longibaculum muris
Longicatena caecimuris
Lysinibacillus fusiformis
Marvinbryantia formatexigens
Massilibacterium senegalense
Massilicoli timonensis
Massilimaliae timonensis
Massilioclostridium coli
Massilioclostridium methylpentosum
Massilistercora timonensis
Mediterraneibacter butyricigenes
Mediterraneibacter faecis
Mediterraneibacter lactaris
Mediterraneibacter massiliensis
Mediterraneibacter torques
Megamonas funiformis
Megamonas hypermegale
Megasphaera cerevisiae
Megasphaera elsdenii
Megasphaera massiliensis
Megasphaera stantonii
Merdimonas faecis
Mesosutterella massiliensis
Mesosutterella multiformis
Metamycoplasma hominis
Methanobrevibacter oralis
Methanobrevibacter smithii
Methanobrevibacter woesei
Methanomassiliicoccus intestinalis
Methanomassiliicoccus luminyensis
Methanomethylophilus alvus
Methanosphaera cuniculi
Methanosphaera stadtmanae
Micrococcus luteus
Microvirga massiliensis
Mitsuokella jalaludinii
Mitsuokella multacida
Mixta calida
Mobilibacterium timonense
Mobilicoccus massiliensis
Moellerella wisconsensis
Monoglobus pectinilyticus
Morganella morganii
Murdochiella massiliensis
Murdochiella vaginalis
Muribaculum intestinale
Muricomes contortus
Muricomes fissicatena
Muricomes oroticus
Murimonas intestini
Mycobacterium avium
Mycobacterium tuberculosis
Mycoplasmopsis bovis
Negativibacillus massiliensis
Negativicoccus massiliensis
Negativicoccus succinicivorans
Neisseria elongata
Neisseria gonorrhoeae
Neisseria macacae
Neisseria subflava
Neobacillus jeddahensis
Neobacillus rubiinfantis
Neobittarella massiliensis
Neofamilia massiliensis
Nesterenkonia massiliensis
Nigerium massiliense
Nitratidesulfovibrio vulgaris
Nosocomiicoccus massiliensis
Noviherbaspirillum massiliense
Numidum massiliense
Oceanobacillus caeni
Oceanobacillus jeddahense
Oceanobacillus massiliensis
Odoribacter laneus
Odoribacter massiliensis
Odoribacter splanchnicus
Olegusella massiliensis
Olsenella provencensis
Olsenella timonensis
Oribacterium sinus
Oscillibacter ruminantium
Oxalobacter formigenes
Paenibacillus amylolyticus
Paenibacillus antibioticophila
Paenibacillus ihuae
Paenibacillus ihumii
Paenibacillus lactis
Paenibacillus lautus
Paenibacillus odorifer
Paenibacillus phocaensis
Paenibacillus polymyxa
Paenibacillus rubinfantis
Paenibacillus senegalensis
Paenibacillus senegalimassiliensis
Paenibacillus thiaminolyticus
Paenibacillus tuaregi
Pantoea agglomerans
Pantoea ananatis
Pantoea anthophila
Pantoea brenneri
Pantoea conspicua
Pantoea eucalypti
Pantoea septica
Parabacteroides acidifaciens
Parabacteroides bouchesdurhonensis
Parabacteroides chinchillae
Parabacteroides distasonis
Parabacteroides faecis
Parabacteroides goldsteinii
Parabacteroides gordonii
Parabacteroides johnsonii
Parabacteroides massiliensis
Parabacteroides merdae
Parabacteroides timonensis
Paraclostridium bifermentans
Paraclostridium sordellii
Paraclostridium tenue
Paraeggerthella hongkongensis
Paraprevotella clara
Paraprevotella xylaniphila
Parascardovia denticolens
Parasutterella excrementihominis
Parolsenella catena
Parolsenella massiliensis
Parolsenella uli
Parvimonas micra
Pauljensenia bouchesdurhonensis
Pauljensenia cardiffensis
Pauljensenia culturomici
Pauljensenia polynesiensis
Pauljensenia radingae
Pauljensenia turicensis
Pediococcus acidilactici
Pediococcus pentosaceus
Pelistega indica
Peptacetobacter hiranonis
Peptococcus niger
Peptoniphilus duerdenii
Peptoniphilus grossensis
Peptoniphilus harei
Peptoniphilus lacrimalis
Peptoniphilus lacydonensis
Peptoniphilus obesi
Peptoniphilus phoceensis
Peptoniphilus raoultii
Peptoniphilus senegalensis
Peptoniphilus urinimassiliensis
Peptostreptococcus anaerobius
Peptostreptococcus russellii
Peptostreptococcus stomatis
Peribacillus simplex
Phascolarctobacterium faecium
Phascolarctobacterium succinatutens
Phocaeicola barnesiae
Phocaeicola coprocola
Phocaeicola coprophilus
Phocaeicola dorei
Phocaeicola ilei
Phocaeicola massiliensis
Phocaeicola mediterraneensis
Phocaeicola plebeius
Phocaeicola salanitronis
Phocaeicola sartorii
Phocea massiliensis
Phoenicibacter congonensis
Phytobacter diazotrophicus
Phytobacter massiliensis
Phytobacter ursingii
Planococcus massiliensis
Plesiomonas shigelloides
Pluralibacter gergoviae
Porphyromonas asaccharolytica
Porphyromonas bennonis
Porphyromonas endodontalis
Porphyromonas gingivalis
Porphyromonas pasteri
Porphyromonas somerae
Porphyromonas uenonis
Prevotella amnii
Prevotella bergensis
Prevotella bivia
Prevotella brunnea
Prevotella buccae
Prevotella buccalis
Prevotella colorans
Prevotella copri
Prevotella corporis
Prevotella denticola
Prevotella disiens
Prevotella hominis
Prevotella intermedia
Prevotella jejuni
Prevotella lascolaii
Prevotellamassilia timonensis
Prevotella melaninogenica
Prevotella multisaccharivorax
Prevotella nigrescens
Prevotella oralis
Prevotella oris
Prevotella pectinovora
Prevotella rara
Prevotella salivae
Prevotella stercorea
Prevotella timonensis
Prevotella veroralis
Propionibacterium freudenreichii
Proteus cibarius
Proteus mirabilis
Proteus penneri
Proteus vulgaris
Providencia alcalifaciens
Providencia rettgeri
Providencia rustigianii
Providencia stuartii
Pseudescherichia vulneris
Pseudobutyrivibrio fibrisolvens
Pseudoflavonifractor capillosus
Pseudomonas aeruginosa
Pseudomonas bubulae
Pseudomonas citronellolis
Pseudomonas extremaustralis
Pseudomonas fulva
Pseudomonas juntendi
Pseudomonas luteola
Pseudomonas massiliensis
Pseudomonas putida
Pseudoruminococcus massiliensis
Pygmaiobacter massiliensis
Pyramidobacter piscolens
Rahnella variigena
Ralstonia pickettii
Raoultella ornithinolytica
Raoultibacter timonensis
Rikenella microfusus
Risungbinella massiliensis
Robertmurraya massiliosenegalensis
Robinsoniella peoriensis
Romboutsia dakarensis
Romboutsia timonensis
Roseburia hominis
Roseburia intestinalis
Rothia aeria
Rothia dentocariosa
Rothia mucilaginosa
Rothia terrae
Rubeoparvulum massiliense
Rubneribacter badeniensis
Ruminiclostridium siraeum
Ruminococcus bicirculans
Ruminococcus bromii
Ruminococcus callidus
Ruminococcus champanellensis
Ruminococcus faecicola
Ruminococcus gauvreauii
Ruminococcus gnavus
Ruthenibacterium lactatiformans
Salinicola tamaricis
Salmonella bongori
Salmonella enterica
Scardovia wiggsiae
Schaedlerella glycyrrhizinilytica
Schleiferilactobacillus harbinensis
Selenomonas bovis
Sellimonas intestinalis
Senegalimassilia anaerobia
Senegalimassilia faecalis
Serratia liquefaciens
Serratia marcescens
Serratia surfactantfaciens
Serratia ureilytica
Slackia exigua
Slackia isoflavoniconvertens
Slackia piriformis
Sneathia amnii
Sneathia sanguinegens
Sodaliphilus pleomorphus
Sphingomonas ginsenosidimutans
Sporanaerobacter acetigenes
Staphylococcus argenteus
Staphylococcus aureus
Staphylococcus capitis
Staphylococcus epidermidis
Staphylococcus haemolyticus
Staphylococcus hominis
Staphylococcus lentus
Staphylococcus lugdunensis
Staphylococcus nepalensis
Staphylococcus schleiferi
Staphylococcus warneri
Staphylococcus xylosus
Stenotrophomonas bentonitica
Stenotrophomonas maltophilia
Stomatobaculum longum
Stomatobaculum naviforme
Stoquefichus massiliensis
Streptococcus agalactiae
Streptococcus alactolyticus
Streptococcus anginosus
Streptococcus constellatus
Streptococcus equinus
Streptococcus gordonii
Streptococcus infantarius
Streptococcus infantis
Streptococcus koreensis
Streptococcus lutetiensis
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus parasanguinis
Streptococcus pasteurianus
Streptococcus peroris
Streptococcus pseudopneumoniae
Streptococcus rubneri
Streptococcus salivarius
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus thermophilus
